주소,위도,경도
대구광역시 달서구 성서공단로21길 78(갈산동),35.84201191,128.4945762
대구광역시 달서구 성서로72길 82(갈산동),35.84883245,128.512343
대구광역시 달서구 성서공단남로 12(대천동),35.83004681,128.4934613
대구광역시 달서구 달서대로95길 137(파호동),35.84139172,128.4763516
대구광역시 달서구 성서공단북로18길 42(호산동),35.84057817,128.4814498
대구광역시 달서구 성서로72길 82(갈산동),35.84883245,128.512343
