도시,구,동,위도,경도
대구광역시,달서구,감삼동,35.8478,128.5436361
대구광역시,달서구,두류2동,35.85906667,128.5697778
대구광역시,달서구,두류동,35.8514898,128.5523678
대구광역시,달서구,두류3동,35.85318611,128.5506444
대구광역시,달서구,성당1동,35.84042222,128.5536111
대구광역시,달서구,성당동,35.84159167,128.5515667
대구광역시,달서구,신당동,35.85975833,128.4971722
대구광역시,달서구,신당동,35.85273889,128.4939833
대구광역시,달서구,용산동,35.86084722,128.5235806
대구광역시,달서구,이곡1동,35.8493463,128.5124526
대구광역시,달서구,이곡2동,35.86071944,128.5045028
대구광역시,달서구,장기동,35.84809722,128.5196472
대구광역시,달서구,죽전동,35.85428333,128.5394806
대구광역시,달서구,죽전동,35.85163056,128.5391028
대구광역시,달서구,송현2동,35.83198611,128.5472361
대구광역시,달서구,송현1동,35.82845833,128.5569222
대구광역시,달서구,송현2동,35.83653333,128.5555444
대구광역시,달서구,송현2동,35.83271944,128.5521222
대구광역시,달서구,송현동,35.82613056,128.5518
대구광역시,달서구,진천동,35.81037222,128.5319806
대구광역시,달서구,진천동,35.81444167,128.5288361
대구광역시,달서구,대곡동,35.80666667,128.5194389
대구광역시,달서구,대천동,35.82481389,128.5132167
대구광역시,달서구,상인2동,35.81043611,128.5345694
대구광역시,달서구,상인2동,35.81332222,128.5342917
대구광역시,달서구,상인1동,35.81519722,128.5482028
대구광역시,달서구,호산동,35.85635556,128.4791611
대구광역시,달서구,죽전동,35.85795833,128.5390111
대구광역시,달서구,죽전동,35.85530278,128.5383917
대구광역시,달서구,용산동,35.8544,128.5335139
대구광역시,달서구,성당동,35.84862222,128.5490556
대구광역시,달서구,성당2동,35.84717222,128.5480556
대구광역시,달서구,성당2동,35.84521944,128.5494889
대구광역시,달서구,용산동,35.85766944,128.525125
대구광역시,달서구,용산동,35.85646667,128.5252361
대구광역시,달서구,용산동,35.85586389,128.5244694
대구광역시,달서구,호산동,35.85183056,128.4848611
대구광역시,달서구,호산동,35.85078333,128.4833278
대구광역시,달서구,신당동,35.857525,128.4926722
대구광역시,달서구,송현2동,35.83629722,128.5507
대구광역시,달서구,본동,35.83541944,128.5388694
대구광역시,달서구,본동,35.835801,128.5296919
대구광역시,달서구,송현2동,35.83035278,128.5499889
