주소,동,위도,경도
대구광역시 달서구본동 610,본동 610,35.835801,128.5296919
대구광역시 달서구송현2동 185-30,송현2동 185-30,35.83035278,128.5499889
대구광역시 달서구본동 870,본동 870,35.83615556,128.5338917
대구광역시 달서구송현1동 242,송현1동 242,35.83069167,128.5571444
대구광역시 달서구송현1동 1967-28,송현1동 1967-28,35.8234,128.5526889
대구광역시 달서구진천동 815-15,진천동 815-15,35.81196389,128.5322472
대구광역시 달서구진천동 272-2,진천동 272-2,35.81098611,128.5297472
대구광역시 달서구진천동 344,진천동 344,35.81029444,128.5253472
대구광역시 달서구유천동 370-2,유천동 370-2,35.81234167,128.5166722
대구광역시 달서구대곡동 22-4,대곡동 22-4,35.80763889,128.5115722
대구광역시 달서구월성동 774-1,월성동 774-1,35.82761389,128.5238806
대구광역시 달서구상인3동 1580-1,상인3동 1580-1,35.81006944,128.5497917
대구광역시 달서구도원동 1447-9,도원동 1447-9,35.80705833,128.5441583
대구광역시 달서구상인2동 1332-113,상인2동 1332-113,35.80975278,128.540825
대구광역시 달서구상인2동 1158,상인2동 1158,35.80931389,128.5462583
대구광역시 달서구상인2동 276-1,상인2동 276-1,35.81575556,128.5374028
대구광역시 달서구상인1동 1536-1,상인1동 1536-1,35.81672222,128.5461028
대구광역시 달서구상인동 246-17,상인동 246-17,35.81714167,128.5371361
대구광역시 달서구두류동 1212-12,두류동 1212-12,35.85937222,128.5711778
대구광역시 달서구성당동 568-8,성당동 568-8,35.84161944,128.5501
대구광역시 달서구성당동 554-2,성당동 554-2,35.84283056,128.5508
대구광역시 달서구성당동 695-69,성당동 695-69,35.8482499,128.5471504
대구광역시 달서구본리동 1216-7,본리동 1216-7,35.83757778,128.5301917
대구광역시 달서구용산동 592-10,용산동 592-10,35.8597979,128.5241725
대구광역시 달서구장기동 47,장기동 47,35.85036944,128.5238583
대구광역시 달서구장기동 826-7,장기동 826-7,35.84187778,128.5292917
대구광역시 달서구신당동 1763-21,신당동 1763-21,35.85712778,128.4992389
대구광역시 달서구호산동 352-9,호산동 352-9,35.85180278,128.4833389
