연번,강좌명,개강일,종강일,강의일수,강의시작시각,강의종료시각,수강신청 접수개시일,강의건물,강의실 층,강의실 주소,위도,경도,비고
25,파워포인트2010,2019-09-09,2019-09-27,13,14:00,16:00,2019-08-12,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
26,스마트폰활용,2019-09-09,2019-09-27,13,10:00,12:00,2019-08-12,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
27,인터넷활용,2019-09-09,2019-09-27,13,14:00,16:00,2019-08-12,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
28,스마트폰활용,2019-10-07,2019-10-25,14,10:00,12:00,2019-09-10,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
29,한글ITQ,2019-10-07,2019-10-25,14,14:00,16:00,2019-09-10,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
30,컴퓨터기초,2019-10-07,2019-10-25,14,10:00,12:00,2019-09-10,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
31,사진꾸미기,2019-10-07,2019-10-25,14,14:00,16:00,2019-09-10,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
32,인터넷활용,2019-11-04,2019-11-22,15,10:00,12:00,2019-10-10,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
33,엑셀2010,2019-11-04,2019-11-22,15,14:00,16:00,2019-10-10,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
34,스마트폰활용,2019-11-04,2019-11-22,15,10:00,12:00,2019-10-10,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
35,한글2010초급,2019-11-04,2019-11-22,15,14:00,16:00,2019-10-10,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
36,SNS활용,2019-12-02,2019-12-20,15,10:00,12:00,2019-11-11,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
37,스마트폰활용,2019-12-02,2019-12-20,15,14:00,16:00,2019-11-11,구청,2,대구광역시 남구 이천로 51,35.845621,128.59726,코로나19로 인한 잠정휴강
38,사진꾸미기,2019-12-02,2019-12-20,15,10:00,12:00,2019-11-11,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
39,한글2010중급,2019-12-02,2019-12-20,15,14:00,16:00,2019-11-11,대명4동,2,대구광역시 남구 두류공원로20길 19,35.84592,128.569506,코로나19로 인한 잠정휴강
