순번,시설명,폭원,연장,지번주소,경도,위도
75,소로3-칠(2)39,6,15,대구광역시 북구 구암동 753,35.9259826,128.5576646
76,소로3-칠(3)10,6,18,대구광역시 북구 동천동 916-6,35.939533,128.5589022
77,소로3-칠(3)11,6,10,대구광역시 북구 동천동 916-7,35.9394993,128.558281
78,소로3-칠(3)12,6,10,대구광역시 북구 동천동 917-9,35.9392826,128.5599383
79,소로3-칠(3)13,6,14,대구광역시 북구 동천동 928-9,35.9376091,128.5572067
80,소로3-칠(3)14,6,33,대구광역시 북구 동천동 929-5,35.9373609,128.5577402
81,소로3-칠(3)15,6,26,대구광역시 북구 동천동 923-8,35.9373206,128.5594775
82,소로3-칠(3)16,6,15,대구광역시 북구 동천동 932-16,35.9367962,128.5566962
83,소로3-칠(3)17,6,32,대구광역시 북구 동천동 932-8,35.9368495,128.5576453
84,소로3-칠(3)18,6,31,대구광역시 북구 동천동 940-11,35.9363589,128.5587
85,소로3-칠(3)19,6,12,대구광역시 북구 동천동 941-14,35.936107,128.5593237
86,소로3-칠(3)2,6,31,대구광역시 북구 국우동 1081-14,35.9467902,128.5708046
87,소로3-칠(3)20,6,13,대구광역시 북구 동천동 937-6,35.9359276,128.5572873
88,소로3-칠(3)21,6,13,대구광역시 북구 동천동 941-7,35.9352964,128.5587459
89,소로3-칠(3)22,6,13,대구광역시 북구 동천동 947-9,35.9346172,128.5562372
90,소로3-칠(3)23,6,30,대구광역시 북구 구암동 813-6,35.9374162,128.5682573
91,소로3-칠(3)24,6,26,대구광역시 북구 구암동 816-4,35.9369541,128.5674921
92,소로3-칠(3)25,6,26,대구광역시 북구 구암동 817-6,35.9363284,128.5670709
93,소로3-칠(3)26,6,23,대구광역시 북구 구암동 824-7,35.9355304,128.566695
94,소로3-칠(3)27,6,17,대구광역시 북구 구암동 826-8,35.9338568,128.5663514
95,소로3-칠(3)28,6,35,대구광역시 북구 구암동 790-6,35.9325126,128.5619982
96,소로3-칠(3)29,6,16,대구광역시 북구 구암동 792-19,35.9315996,128.5619574
97,소로3-칠(3)3,6,30,대구광역시 북구 국우동 1084-4,35.9459224,128.5701325
98,소로3-칠(3)30,6,32,대구광역시 북구 구암동 800-10,35.9320227,128.5645546
99,소로3-칠(3)4,6,33,대구광역시 북구 국우동 1089-6,35.9448243,128.5722452
100,소로3-칠(3)5,6,23,대구광역시 북구 국우동 1102-1,35.9449198,128.5728844
101,소로3-칠(3)6,6,28,대구광역시 북구 국우동 1097-2,35.9444374,128.570254
102,소로3-칠(3)7,6,25,대구광역시 북구 국우동 1099-8,35.9436089,128.5698878
103,소로3-칠(3)8,6,27,대구광역시 북구 국우동 1103-1,35.9439228,128.5737132
104,소로3-칠(3)9,6,32,대구광역시 북구 국우동 1112-11,35.9479466,128.5760891
105,소로3-칠110,6,31,대구광역시 북구 태전동 1204,35.9231092,128.5523683
106,소로3-칠111,4,42,대구광역시 북구 태전동 1211,35.9215781,128.5511089
107,소로3-칠112,4,22,대구광역시 북구 태전동 1206,35.9218175,128.5505616
108,소로3-칠택124 ,4,17,대구광역시 북구 태전동 995-5,35.9308834,128.5489048
109,소로3-칠택127,4,21,대구광역시 북구 태전동 957-5,35.9299738,128.5467104
110,소로3-칠택128,4,21,대구광역시 북구 태전동 957-8,35.9297846,128.5466795
111,소로3-칠택134,4,18,대구광역시 북구 태전동 1053-10,35.9265909,128.5489247
112,소로3-학1,6,30,대구광역시 북구 학정동 373-1,35.9558116,128.5659757
113,소로3-학2,6,20,대구광역시 북구 학정동 286-2,35.9515413,128.5652499
114,소로3-학3,6,20,대구광역시 북구 학정동 286-2,35.9515413,128.5652499
115,소로3-학4,6,30,대구광역시 북구 학정동 272,35.950181,128.5649655
116,소로3-학5,6,30,대구광역시 북구 학정동 272,35.950181,128.5649655
117,소로3-학6,6,21,대구광역시 북구 구암동 694-1,35.9282215,128.5578186
118,중로2-200,15,397,대구광역시 북구 동천동 914-2,35.9394607,128.5607162
119,중로2-201,15,432,대구광역시 북구 구암동 785-4,35.9388345,128.5669015
120,중로3-85,12,10,대구광역시 북구 읍내동 707-1,35.9469905,128.5456287
