iter	R2	RMSE
0	0.003499319907	3.201548878
1	0.006416036826	3.196860042
2	0.00901164063	3.192681629
3	0.01118948756	3.189171499
4	0.01294852384	3.186333561
5	0.01464317206	3.183597111
6	0.01598850597	3.181423044
7	0.01744461535	3.179068288
8	0.01885647155	3.176783429
9	0.01985549072	3.175165686
10	0.02085282967	3.173549841
11	0.02168145854	3.172206707
12	0.02244009735	3.170976522
13	0.02316096136	3.169807149
14	0.02390568081	3.168598625
15	0.02465727518	3.167378477
16	0.02510254025	3.166655406
17	0.02562764413	3.165802472
18	0.02594812795	3.165281792
19	0.02648996709	3.164401288
20	0.0270371141	3.163511911
21	0.0273876197	3.162942039
22	0.02784763271	3.162193968
23	0.02815347319	3.161696513
24	0.02855970618	3.161035648
25	0.02898376172	3.160345641
26	0.02928600849	3.159853744
27	0.02960188595	3.159339583
28	0.02983370332	3.158962195
29	0.03015474159	3.158439484
30	0.03048874084	3.157895579
31	0.03071840752	3.157521522
32	0.03090268449	3.157221358
33	0.03118383148	3.156763351
34	0.031435982	3.156352524
35	0.03174666126	3.155846263
36	0.03198721693	3.155454215
37	0.03217615643	3.155146255
38	0.03234570958	3.154869867
39	0.03253065431	3.154568363
40	0.03277154192	3.154175614
41	0.03295668919	3.153873713
42	0.03323651228	3.153417379
43	0.03354065181	3.152921314
44	0.03374889038	3.152581623
45	0.03396107805	3.152235452
46	0.03410075887	3.152007551
47	0.03433259876	3.151629248
48	0.03447995871	3.151388771
49	0.03474672055	3.150953395
50	0.03486614861	3.15075846
51	0.03507150978	3.150423233
52	0.03518275309	3.150241627
53	0.03542857343	3.149840285
54	0.0356074342	3.149548234
55	0.03582275172	3.149196618
56	0.03598116778	3.148937898
57	0.03617944832	3.148614043
58	0.03635208133	3.148332051
59	0.03654526516	3.14801646
60	0.03667551964	3.147803655
61	0.03680308074	3.147595235
62	0.03697317759	3.147317297
63	0.03719487284	3.146955009
64	0.03732063671	3.146749471
65	0.03744074981	3.146553155
66	0.03770509423	3.146121062
67	0.03782447518	3.145925904
68	0.03795802314	3.145707573
69	0.0381264813	3.145432146
70	0.03830620626	3.145138273
71	0.03846810112	3.14487353
72	0.03853468918	3.144764633
73	0.03873612095	3.144435194
74	0.03893529615	3.144109412
75	0.03903330153	3.143949096
76	0.03913370739	3.143784845
77	0.03921333686	3.143654576
78	0.03929928688	3.14351396
79	0.03947279271	3.143230083
80	0.03957427812	3.143064028
81	0.03971255055	3.142837766
82	0.03989301003	3.142542448
83	0.0400510701	3.142283762
84	0.04020091681	3.1420385
85	0.04035936099	3.141779144
86	0.04048787896	3.141568759
87	0.04062815591	3.141339108
88	0.04079838701	3.141060396
89	0.04090283836	3.14088937
90	0.04102980287	3.140681469
91	0.04121200132	3.140383099
92	0.04133550884	3.140180827
93	0.04143197249	3.140022835
94	0.04157400581	3.139790194
95	0.0416806139	3.139615566
96	0.04181479326	3.139395762
97	0.0418958314	3.139263002
98	0.04194281916	3.139186023
99	0.04216809403	3.138816931
100	0.04237513651	3.138477674
101	0.04252384481	3.138233979
102	0.04261823676	3.138079285
103	0.04274068611	3.137878598
104	0.04283697974	3.13772077
105	0.04304300914	3.137383055
106	0.04316834603	3.137177589
107	0.04323161868	3.137073861
108	0.04333465351	3.13690494
109	0.04341436796	3.136774246
110	0.04351090138	3.136615968
111	0.04365507434	3.136379566
112	0.0437277923	3.136260323
113	0.04379680351	3.136147154
114	0.04389891303	3.1359797
115	0.04406733844	3.135703473
116	0.04412501561	3.135608874
117	0.04424737951	3.135408169
118	0.04430663478	3.135310972
119	0.04447603051	3.135033094
120	0.04462140161	3.134794607
121	0.04474216124	3.134596482
122	0.04485046583	3.134418781
123	0.04500607309	3.13416345
124	0.04510233576	3.134005486
125	0.04523758136	3.133783538
126	0.04533559378	3.133622682
127	0.04548865131	3.133371471
128	0.045644627	3.133115451
129	0.04584211618	3.132791259
130	0.0459763953	3.132570811
131	0.04611160841	3.132348815
132	0.0463122064	3.132019439
133	0.04650121411	3.131709062
134	0.04669084521	3.131397631
135	0.04684782848	3.131139793
136	0.04710275993	3.130721036
137	0.04733614884	3.130337615
138	0.04750166521	3.13006567
139	0.04771422161	3.129716403
140	0.04791924423	3.129379479
141	0.0480241655	3.129207042
142	0.04818080662	3.128949586
143	0.04843146576	3.128537559
144	0.04860775951	3.128247739
145	0.04869878031	3.128098094
146	0.04887928834	3.127801304
147	0.04903925038	3.127538271
148	0.04929230678	3.127122115
149	0.04954929561	3.126699436
150	0.04974372599	3.12637961
151	0.0499004205	3.126121834
152	0.0501032807	3.12578808
153	0.05028624694	3.125487025
154	0.05048338397	3.125162622
155	0.05060719936	3.124958857
156	0.05083520013	3.124583599
157	0.05089900928	3.124478569
158	0.05107627481	3.124186773
159	0.05127755271	3.123855417
160	0.0515013416	3.123486961
161	0.05173645692	3.123099809
162	0.05197230382	3.122711405
163	0.05219675706	3.12234172
164	0.0523611962	3.122070852
165	0.05256370769	3.12173724
166	0.05279681995	3.121353171
167	0.05300608147	3.121008359
168	0.05325375197	3.120600208
169	0.05344702273	3.120281669
170	0.053613336	3.120007534
171	0.0538154234	3.119674399
172	0.05401180438	3.119350638
173	0.05426714354	3.118929625
174	0.05441261787	3.118689736
175	0.05470933776	3.118200384
176	0.05512348252	3.117517246
177	0.05524490885	3.117316924
178	0.05550932428	3.11688066
179	0.05565873368	3.11663412
180	0.05605413719	3.115981571
181	0.05622969937	3.115691791
182	0.05663030951	3.115030449
183	0.05684487523	3.114676178
184	0.05705014158	3.114337224
185	0.0572735161	3.113968326
186	0.05744476406	3.113685484
187	0.05763533243	3.113370701
188	0.05790431192	3.112926344
189	0.05824022371	3.112371325
190	0.05833795954	3.11220982
191	0.05865705811	3.111682462
192	0.05888106399	3.111312206
193	0.05901804182	3.111085775
194	0.05927450601	3.110661784
195	0.0594996342	3.11028955
196	0.05965672159	3.110029791
197	0.05981889813	3.109761593
198	0.05998676115	3.109483967
199	0.06010469981	3.109288895
200	0.06054999508	3.108552262
201	0.06076524042	3.108196129
202	0.06090406128	3.107966421
203	0.06106434644	3.107701176
204	0.06126300187	3.107372402
205	0.06157287714	3.106859491
206	0.06171836625	3.106618646
207	0.06183198796	3.106430541
208	0.06194572838	3.106242229
209	0.062121666	3.105950918
210	0.06222852825	3.105773966
211	0.06238000247	3.105523125
212	0.06269329973	3.10500424
213	0.06294025502	3.10459517
214	0.06312322292	3.104292058
215	0.06324535526	3.104089712
216	0.06339554247	3.103840867
217	0.06347559314	3.103708223
218	0.06361183111	3.103482464
219	0.06370769429	3.103323599
